frames_mean,frames_median,frames_std,frames_min,frames_max,distance_mean,distance_median,distance_std,distance_min,distance_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max,wins_mean,wins_median,wins_std,wins_min,wins_max
210.5,182.0,61.64616776410355,182.0,377.0,87.2,40.0,117.91590223544914,40.0,434.0,5446.57687998439,1e-05,15247.40101190479,1e-05,51088.95687985275,0.0,0.0,0.0,0.0,0.0
354.55555555555554,375.0,79.78625767373883,135.0,475.0,402.76666666666665,434.0,75.99386671158257,118.0,435.0,45804.22523722655,50676.23453729153,11709.174383790569,3376.8118399911446,51378.26422487083,0.0,0.0,0.0,0.0,0.0
186.2,182.0,63.46463582184963,135.0,367.0,214.4,303.5,146.91507751078512,40.0,434.0,20692.758655602465,29721.66208844768,17917.62037910223,1e-05,51378.26422487083,0.0,0.0,0.0,0.0,0.0
252.25555555555556,193.0,122.84059780518734,133.0,595.0,355.3666666666667,314.0,65.35483489723192,281.0,595.0,37953.41578306356,31904.132446048377,11068.21309221143,21035.792762811678,85919.29012731093,0.0,0.0,0.0,0.0,0.0
224.8,182.0,109.15841699108687,182.0,549.0,122.4,40.0,174.74221012680366,40.0,595.0,11391.808505293699,1e-05,26182.724912629965,1e-05,85919.29012731093,0.0,0.0,0.0,0.0,0.0
273.6,191.0,162.68632394888024,135.0,715.0,357.1333333333333,312.0,135.11766065996784,40.0,597.0,39258.54960341783,31727.066154389362,21533.886423452062,1e-05,85853.97239748845,0.0,0.0,0.0,0.0,0.0
367.97777777777776,371.5,190.99947514632817,135.0,793.0,431.97777777777776,436.0,155.88670941693366,40.0,722.0,52909.00228633765,47216.83424415157,26777.152138218476,1e-05,100694.42271690538,0.0,0.0,0.0,0.0,0.0
390.5111111111111,454.0,193.2261337537759,135.0,978.0,433.6333333333333,516.5,194.5317140668271,40.0,723.0,55488.63034657472,59669.199559195076,33388.71149517117,1e-05,116154.53600258462,0.0,0.0,0.0,0.0,0.0
376.52222222222224,454.5,157.74319691460389,135.0,939.0,455.73333333333335,594.0,174.52015483732657,40.0,673.0,60788.913614391415,80810.5270068649,30917.41796823171,1e-05,115878.38568754692,0.0,0.0,0.0,0.0,0.0
384.4888888888889,455.0,148.75724030516926,135.0,697.0,492.1111111111111,594.0,136.598962452904,40.0,722.0,66679.58876871044,82449.24926916728,28619.810910012857,1e-05,127113.18917073676,0.0,0.0,0.0,0.0,0.0
372.65555555555557,380.5,146.13313268775087,133.0,697.0,481.3888888888889,436.5,129.52809171453842,285.0,723.0,64595.86818988291,51435.65758642787,28900.497083932598,11427.218307215004,128358.80916484793,0.0,0.0,0.0,0.0,0.0
377.9222222222222,390.0,162.41026430191314,133.0,805.0,498.93333333333334,441.0,151.1941944799616,258.0,858.0,70503.13669692587,51649.371737276626,35603.82973169565,14446.058314037406,170836.61301599524,0.0,0.0,0.0,0.0,0.0
430.9222222222222,408.0,185.68283758290505,133.0,1052.0,552.5222222222222,594.5,175.21810077587924,291.0,898.0,85146.19477818959,90813.25148055487,44327.636579423124,26920.235306461735,193765.17744538534,0.0,0.0,0.0,0.0,0.0
340.22222222222223,370.0,158.14668140528963,133.0,678.0,536.0666666666667,594.5,191.18890018919916,261.0,900.0,84889.02632325476,91169.84643260148,48688.480917468565,14281.577865012829,193802.7224174213,0.0,0.0,0.0,0.0,0.0
363.27777777777777,365.0,165.71609106995666,133.0,828.0,568.2111111111111,698.5,199.09933279895154,304.0,902.0,93568.8932719942,124528.70482577049,52891.927293742854,29316.23790859138,193901.43176953468,0.0,0.0,0.0,0.0,0.0
416.6111111111111,380.0,155.2009947308074,133.0,789.0,623.0111111111111,704.0,209.5476871976318,302.0,1129.0,109268.15828562,127675.37712726023,61881.705234705005,29132.430670722664,299914.4332903188,0.0,0.0,0.0,0.0,0.0
453.6333333333333,433.0,193.5290647135176,133.0,891.0,634.2666666666667,704.0,236.85381332984463,295.0,1273.0,113766.42990714751,126158.69999716574,71008.18035163672,27681.819105758477,363778.3945503626,0.0,0.0,0.0,0.0,0.0
416.73333333333335,386.0,199.12211775133815,133.0,875.0,629.0,699.5,247.4801900040576,295.0,1272.0,114203.65455256162,126453.1830679441,75686.65149769331,27639.819151312637,363943.2843238265,0.0,0.0,0.0,0.0,0.0
466.72222222222223,469.5,235.027281053724,133.0,977.0,668.7888888888889,712.5,279.2367969402172,295.0,1306.0,128298.98752214952,128322.73112555846,89240.51457254347,27681.819105758477,382154.01569660014,0.0,0.0,0.0,0.0,0.0
535.9888888888889,578.5,215.171636629637,133.0,992.0,726.0555555555555,722.0,272.02926154331715,298.0,1278.0,144580.08950791226,128340.77014520319,90491.58882178892,28319.40249293462,368426.82173536153,0.0,0.0,0.0,0.0,0.0
525.2777777777778,573.0,199.0441060992249,133.0,1009.0,709.3555555555556,722.0,269.7744865257775,251.0,1335.0,138827.72074831676,128051.15029965977,94357.09909843413,18553.372856684957,399730.31315789185,0.0,0.0,0.0,0.0,0.0
525.6444444444444,578.0,223.53763347643928,133.0,1078.0,747.5222222222222,722.0,306.10561822053,250.0,1335.0,155721.4931286591,128358.80916484793,109030.8614058822,18504.919261773422,399730.31315789185,0.0,0.0,0.0,0.0,0.0
521.2888888888889,552.5,235.587928593053,133.0,1046.0,714.5888888888888,722.0,318.4014200988866,300.0,1349.0,145686.0071136962,127955.20952852437,116492.6172505251,28745.67342130943,407563.39152160275,0.0,0.0,0.0,0.0,0.0
495.6333333333333,488.5,226.63707895125097,133.0,1023.0,704.2111111111111,713.0,310.10920995476005,305.0,1346.0,142361.67318817298,128376.83258654604,110985.68553594012,23825.317316564826,405973.7671753209,0.0,0.0,0.0,0.0,0.0
482.3222222222222,412.0,195.26448318898585,133.0,1058.0,701.4888888888889,709.0,286.419166197781,304.0,1420.0,139380.74106172845,128430.87162872596,103565.90548505286,28550.98681770527,455332.53896352754,0.0,0.0,0.0,0.0,0.0
477.85555555555555,385.5,213.72472227980612,133.0,906.0,702.6888888888889,707.5,338.4480148640735,294.0,1520.0,145844.69872071838,128005.8261588222,123228.50785523007,27553.568290444433,514316.1079040845,0.0,0.0,0.0,0.0,0.0
480.6666666666667,459.0,210.14508215886366,133.0,1035.0,707.8444444444444,707.0,302.55540947480864,302.0,1359.0,143115.65472423183,128448.86381396392,107905.92119038335,29253.176943892373,412348.0505201785,0.0,0.0,0.0,0.0,0.0
508.3666666666667,463.5,193.7221635917446,133.0,872.0,746.3444444444444,708.0,337.7450110203492,308.0,1518.0,158564.4020367128,128398.31584132247,122937.7065212102,23864.678061422957,514382.0096974381,0.0,0.0,0.0,0.0,0.0
486.22222222222223,419.5,210.49379921074362,133.0,891.0,729.2555555555556,704.5,336.67638801512885,307.0,1344.0,153644.77849239495,128657.68208911517,120565.0651983229,30284.204440724425,404606.60381633084,0.0,0.0,0.0,0.0,0.0
521.0333333333333,464.0,219.3549862665538,133.0,1073.0,750.8111111111111,708.0,346.4099015278622,294.0,1351.0,161534.88526128817,128448.77002313227,126787.54623634159,27553.568290444433,407197.59404969803,0.0,0.0,0.0,0.0,0.0
500.8666666666667,466.5,206.47535230896474,133.0,924.0,758.7333333333333,709.0,323.18604205283646,301.0,1352.0,162662.3417353538,129144.58498044859,118616.91664875015,29039.890402013996,407907.82251320034,0.0,0.0,0.0,0.0,0.0
519.0222222222222,472.5,200.376921368914,133.0,960.0,780.3333333333334,709.0,326.6963251842434,302.0,1355.0,170090.94680121305,129268.85544860453,121698.11260534727,29253.176943892373,410618.1521370125,0.0,0.0,0.0,0.0,0.0
519.8222222222222,547.0,226.84275404281354,133.0,887.0,786.4,722.0,348.99735115199815,296.0,1432.0,175722.2204469877,129461.36205989568,130379.58343888406,27977.023169872355,462094.7156975512,0.0,0.0,0.0,0.0,0.0
511.9555555555556,475.0,204.7264251038504,133.0,895.0,761.1,722.0,318.08873849219424,304.0,1359.0,162645.6817392235,129002.83706793739,120151.14920763877,17987.80975252378,412034.54175035655,0.0,0.0,0.0,0.0,0.0
511.4888888888889,465.0,246.0816596373581,133.0,904.0,756.4666666666667,708.0,363.2696029733901,248.0,1357.0,166622.40091317554,128464.9636876072,135373.27200262927,13614.73563600096,411416.1233343276,0.0,0.0,0.0,0.0,0.0
522.0555555555555,556.0,228.5996189902099,133.0,889.0,775.1444444444444,722.0,350.50650845474445,299.0,1434.0,171559.89796073214,129142.0025952238,131565.24995697037,23598.521251289818,463583.9852891361,0.0,0.0,0.0,0.0,0.0
589.8111111111111,616.5,250.54766210774014,133.0,1026.0,886.7888888888889,811.0,383.77555635334693,307.0,1523.0,216712.68979012832,162640.5481646799,151254.4074612314,30284.204440724425,517213.33475992497,0.0,0.0,0.0,0.0,0.0
535.3111111111111,560.5,230.70123269161803,133.0,915.0,783.5777777777778,722.0,350.2286547632617,301.0,1427.0,173868.7802887197,128789.30457791076,134377.37003639687,29039.890402013996,458392.0345783207,0.0,0.0,0.0,0.0,0.0
536.8444444444444,570.5,251.500382642126,133.0,919.0,789.6777777777778,722.0,365.4890126871965,293.0,1429.0,178205.0532755007,129268.08341985743,136481.566508638,17835.090338811064,459594.5345118521,0.0,0.0,0.0,0.0,0.0
534.5333333333333,559.0,268.00805128867967,133.0,905.0,812.4222222222222,722.0,399.91060050348966,302.0,1441.0,191791.00739200567,128949.53695018665,151205.88609752484,29253.176943892373,469799.32708861935,0.0,0.0,0.0,0.0,0.0
499.3222222222222,544.0,241.9383221575182,133.0,888.0,770.4111111111112,722.0,382.05400707359115,302.0,1523.0,174889.2029258567,128538.71521556388,147144.0492615083,29253.176943892373,518521.6947415257,0.0,0.0,0.0,0.0,0.0
525.5222222222222,560.0,235.35553378654728,133.0,889.0,815.1111111111111,723.0,371.32574631520396,292.0,1524.0,189160.1391043416,129243.20415188813,145791.3843971077,27131.097827875514,517515.0737969942,0.0,0.0,0.0,0.0,0.0
489.44444444444446,464.0,237.52155977515952,133.0,911.0,795.7111111111111,711.5,426.29758110306113,305.0,1523.0,191112.26002408084,128032.98697865233,171479.19018432734,29735.693077976848,517238.1611617755,0.0,0.0,0.0,0.0,0.0
472.14444444444445,458.5,215.25863312722782,133.0,888.0,732.9666666666667,703.5,370.6387114758042,301.0,1521.0,160875.67786993756,128123.74160601475,146190.41521503183,29039.890402013996,514864.3183208903,0.0,0.0,0.0,0.0,0.0
524.6555555555556,566.5,215.24121668032052,133.0,947.0,851.9666666666667,722.0,399.74840559754307,294.0,1796.0,207362.45179794796,129810.65170502746,166629.080219986,27553.568290444433,694052.4392956935,0.0,0.0,0.0,0.0,0.0
500.6111111111111,562.0,210.67630222924373,133.0,942.0,804.2,722.0,371.88831059278476,301.0,1522.0,185881.0435646018,129012.3563042621,152024.5473598509,29039.890402013996,517238.1611617755,0.0,0.0,0.0,0.0,0.0
496.8222222222222,562.0,226.11312693614119,133.0,921.0,791.4111111111112,722.0,393.96714173320606,303.0,1792.0,184319.35325564866,128087.4614505646,161021.81058172003,29346.624014906527,692357.699375679,0.0,0.0,0.0,0.0,0.0
488.94444444444446,542.0,225.13262072294242,133.0,981.0,775.3,716.5,393.90177709677823,303.0,1954.0,178683.9407467814,128014.80817973564,161725.45075359504,29346.624014906527,810585.3514008925,0.0,0.0,0.0,0.0,0.0
519.8111111111111,547.5,189.42620342288942,133.0,977.0,878.4555555555555,713.0,414.6892855865062,302.0,1960.0,220453.6143076446,128917.47540505059,183296.85797215227,29172.90283250209,815414.9917267294,0.0,0.0,0.0,0.0,0.0
513.6666666666666,483.0,228.93016887737235,133.0,985.0,903.2,712.5,464.33989466529556,303.0,1960.0,238680.6354570285,129842.11183442781,199875.7195780649,29346.624014906527,815039.1409527768,0.0,0.0,0.0,0.0,0.0
473.06666666666666,470.5,216.47708629064851,133.0,861.0,838.8444444444444,710.5,411.36677095617915,303.0,1800.0,205888.0641296138,130127.41328049489,170820.8150112879,29346.624014906527,700822.4371818383,0.0,0.0,0.0,0.0,0.0
470.18888888888887,454.0,190.46468873342636,133.0,877.0,793.2222222222222,705.0,380.82754270660445,297.0,1778.0,184162.34433065975,128855.82058347706,158591.1834755254,28147.982272814803,684273.9327784092,0.0,0.0,0.0,0.0,0.0
467.3333333333333,453.5,194.54945101153305,133.0,799.0,818.6666666666666,706.0,381.2304056895544,299.0,1525.0,193838.26175461378,128820.74959722142,161925.72864641386,28614.025825080444,519382.6117589055,0.0,0.0,0.0,0.0,0.0
507.6777777777778,492.0,203.64887144176902,133.0,899.0,880.0222222222222,708.5,421.5398749499738,304.0,1788.0,222592.95393170044,129742.55250078061,180556.27100777905,29561.053645472188,690471.7027841588,0.0,0.0,0.0,0.0,0.0
398.6,182.0,295.90275429606936,182.0,899.0,563.9,40.0,748.8981840010028,40.0,1788.0,191917.26285084436,1e-05,291040.4006401209,1e-05,690471.7027841588,0.0,0.0,0.0,0.0,0.0
564.6777777777778,596.0,249.63127598643823,133.0,1263.0,987.3555555555556,899.0,510.02549633678143,301.0,2131.0,280272.65817672515,193316.4473999624,245484.47369019862,28999.641230180132,938565.7476650391,0.0,0.0,0.0,0.0,0.0
462.9,238.0,375.4337358309719,182.0,1239.0,684.5,272.5,811.7676083707702,40.0,2130.0,241644.45696598018,23084.578622751418,354143.24730254733,1e-05,938565.7476650391,0.0,0.0,0.0,0.0,0.0
335.5,208.0,312.49647998017514,182.0,1239.0,297.7,47.0,621.5522584626332,40.0,2130.0,98927.99199062621,116.81073444995071,280244.36597552546,1e-05,938565.7476650391,0.0,0.0,0.0,0.0,0.0
542.2888888888889,566.0,188.06087929441267,133.0,1138.0,950.2111111111111,722.5,441.5651580066435,304.0,2131.0,253323.0968054234,130354.15497560636,217551.21693798032,29561.053645472188,943788.2608242312,0.0,0.0,0.0,0.0,0.0
537.9444444444445,584.5,200.62609562794563,133.0,915.0,981.4111111111112,872.0,449.52344876285855,301.0,2024.0,268476.35811673396,182432.72333412804,214470.65491497077,28959.169068400704,868495.7665898502,0.0,0.0,0.0,0.0,0.0
272.6,182.0,223.5066889379376,161.0,915.0,332.2,40.0,581.8856932422381,40.0,2024.0,98152.88389034968,1e-05,257382.5616844865,1e-05,868495.7665898502,0.0,0.0,0.0,0.0,0.0
532.7666666666667,575.0,200.24163458737104,133.0,935.0,949.7444444444444,898.0,476.0511774801601,86.0,2025.0,259546.6534751832,194491.8681939972,220049.35292734735,1557.982505785872,869199.8961688102,0.0,0.0,0.0,0.0,0.0
295.1,182.0,223.83630179218025,182.0,917.0,310.5,40.0,585.7769626743612,40.0,2025.0,94724.76418615281,1e-05,258616.31213723382,1e-05,869199.8961688102,0.0,0.0,0.0,0.0,0.0
558.7555555555556,588.5,183.5694425739578,151.0,917.0,923.9555555555555,898.0,473.5650820252484,118.0,2025.0,247018.59641642202,194362.28634417898,231746.7886258342,3376.8118399911446,869199.8961688102,0.0,0.0,0.0,0.0,0.0
282.9,182.0,221.22316786448928,149.0,917.0,328.5,119.5,576.0628871920148,40.0,2025.0,95652.61248452544,4371.461329455934,258117.5652275169,1e-05,869199.8961688102,0.0,0.0,0.0,0.0,0.0
257.1,182.0,219.98974976121048,182.0,917.0,289.7,40.0,587.1795381312261,40.0,2025.0,92511.3051908351,1e-05,259130.90463673623,1e-05,869199.8961688102,0.0,0.0,0.0,0.0,0.0
544.4222222222222,496.0,233.86040364940305,179.0,1272.0,993.5555555555555,717.0,504.20494314450946,295.0,2132.0,282428.9201242033,131184.55778425068,254321.6460715277,27765.17339672614,942567.4469660709,0.0,0.0,0.0,0.0,0.0
532.8333333333334,480.5,222.6948210743423,133.0,1221.0,940.4888888888889,708.0,478.6052245720415,302.0,2131.0,255050.27593886745,129190.22057097394,245158.85886389672,29253.176943892373,943636.3566713323,0.0,0.0,0.0,0.0,0.0
